"2026/02/18 1:45:15 PM GMT+5:30","University/College Student (CS/IT)","CS Undergraduate - Part Time","Education - University","501-1000 (Large organization)","Less than 1 year","Hybrid","Budget Laptop","4 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Pentium Gold 4417U","2 cores","2.3 GHz","HDD (Mechanical hard drive)","500 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel HD Graphics 610","Shared","Windows 10","15 inches","Single monitor/screen only","Chrome, MS Office, VS Code, Zoom","Small (Under 10 MB)","Under LKR 100,000","Assignments, online classes, basic coding","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow boot times;System freezes/lag;Application crashes;Overheating","Frequently (multiple times daily)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G dongle)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Very slow and outdated, urgently need replacement"
"2026/02/18 1:50:30 PM GMT+5:30","Data Engineer","Data Engineer","Information Technology (IT)","201-500 (Large organization)","4-6 years","Remote/Work from home","Desktop PC (Custom built)","64 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 5900X","12 cores","3.7 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060","12 GB","Windows 11/Linux dual boot","27 inches (external monitor)","Dual monitors","Python, Spark, SQL, Docker, Airflow, VS Code, Jupyter","Large files (100 MB - 1 GB)","Above LKR 300,000","Data pipeline development, ETL, data warehousing","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 1:55:45 PM GMT+5:30","IT Operations Manager","IT Ops Manager","Information Technology (IT)","51-200 (Medium-sized business)","7-10 years","On-site (at campus/office)","Desktop PC (Standard)","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-10700","8 cores","2.9 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 630","Shared","Windows 11","22 inches (external monitor)","Dual monitors","MS Office, Jira, Confluence, monitoring tools, Slack, Zoom","Small (Under 10 MB)","LKR 250,000 - 300,000","Operations management, team coordination, reporting","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 2:00:55 PM GMT+5:30","Frontend Developer (Junior)","Junior Frontend Developer","Information Technology (IT)","11-50 (Small to medium)","1-2 years","Remote/Work from home","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-1115G4","2 cores","3.0 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 11","14 inches","Single monitor/screen only","VS Code, Chrome, Figma, Git, Slack, Zoom","Small (Under 10 MB)","LKR 150,000 - 200,000","Frontend development, bug fixes, learning","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Slow boot times","Occasionally (2-3 times per week)","Rarely (1-2 hours/month)","Not needed","Fiber broadband (Dialog Fiber, SLT)","More RAM (memory);Faster CPU/Processor;Faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 2:05:20 PM GMT+5:30","Bioinformatician (Research)","Computational Biologist","Research Institute","51-200 (Medium-sized business)","4-6 years","Hybrid","Desktop PC (Custom built)","128 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen Threadripper 3960X","24 cores","3.8 GHz","NVMe SSD (Faster PCIe SSD)","4 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 3080 Ti","12 GB","Linux (Ubuntu)","27 inches (external monitor)","Dual monitors","Python, R, BLAST, Bowtie2, Cufflinks, VS Code, Jupyter","Very large files (Over 1 GB)","Above LKR 300,000 (Research grant)","Genomic analysis, RNA-seq, variant calling","8-10 hours","Frequently (6-10 applications at a time)","5 - Very Heavy (scientific computing, servers)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (LEARN)","More RAM (memory);Larger or faster storage (SSD upgrade)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary","Need high core count CPU for parallel processing"
"2026/02/18 2:10:35 PM GMT+5:30","University/College Student (CS/IT)","MSc in AI Student","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Gaming Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-9750H","6 cores","2.6 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Entry-level dedicated GPU (GTX 1650, RX 6500 XT)","NVIDIA GTX 1660 Ti","6 GB","Windows 11","15 inches","Single monitor/screen only","Python, TensorFlow, PyTorch, Jupyter, VS Code, Chrome","Large files (100 MB - 1 GB)","LKR 200,000 - 250,000","AI coursework, model training, research","6-8 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Partially (some tasks are slow or require workarounds)","Overheating;Battery drain (for laptops);Excessive fan noise","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University WiFi)","Better graphics card (GPU);More RAM (memory);Better cooling","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","GPU not powerful enough for deep learning, thermal throttling issues"
"2026/02/18 2:15:50 PM GMT+5:30","SharePoint Developer","SharePoint Specialist","Information Technology (IT)","201-500 (Large organization)","4-6 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","SharePoint, PowerApps, Power Automate, VS Code, MS Office","Small (Under 10 MB)","LKR 250,000 - 300,000","SharePoint development, workflow automation, administration","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger screen","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 2:20:15 PM GMT+5:30","IT Risk Manager","IT Risk Analyst","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-1145G7","4 cores","2.6 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","MS Office, Risk management software, Jira, Confluence, Email","Small (Under 10 MB)","LKR 250,000 - 300,000","Risk assessment, compliance, reporting","6-8 hours","Moderately (3-5 applications at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger battery (for laptops);Lighter/more portable (laptops)","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 2:25:30 PM GMT+5:30","Computer Vision Engineer","Computer Vision Engineer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","Remote/Work from home","Desktop PC (Custom built)","64 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i9-12900K","16 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 4090","24 GB","Windows 11/Linux dual boot","27 inches (external monitor)","Dual monitors","Python, OpenCV, TensorFlow, PyTorch, CUDA, VS Code","Large files (100 MB - 1 GB)","Above LKR 300,000","Computer vision algorithm development, model training","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Better graphics card (GPU);More RAM (memory);Larger or faster storage (SSD upgrade)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary","High-end GPU essential for computer vision work"
"2026/02/18 2:30:45 PM GMT+5:30","University/College Student (CS/IT)","IT Student - Vocational Training","Education - Vocational Institute","11-50 (Small to medium)","Less than 1 year","On-site (at campus/office)","Budget Laptop","4 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Celeron N4020","2 cores","1.1 GHz","eMMC storage","64 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 600","Shared","Windows 10","14 inches","Single monitor/screen only","MS Office, Chrome, Basic coding software","Small (Under 10 MB)","Under LKR 100,000","Learning basic IT skills, assignments, online classes","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow boot times;System freezes/lag;Application crashes;Overheating","Frequently (multiple times daily)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G dongle)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Very basic laptop, struggles with even simple tasks"
"2026/02/18 2:35:55 PM GMT+5:30","Sitecore Developer","Sitecore Developer","Information Technology (IT)","51-200 (Medium-sized business)","2-3 years","Hybrid","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Dual monitors","Visual Studio, Sitecore, SQL Server, Git, Chrome, Jira","Medium (10 MB - 100 MB)","LKR 200,000 - 250,000","Sitecore development, customization, deployment","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Faster CPU/Processor","1-2 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 2:40:20 PM GMT+5:30","IT Compliance Officer","IT Compliance Officer","Information Technology (IT)","201-500 (Large organization)","4-6 years","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-10210U","4 cores","1.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","MS Office, Compliance software, Email, Chrome, PDF readers","Small (Under 10 MB)","LKR 150,000 - 200,000","Compliance checking, documentation, audits","6-8 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 2:45:35 PM GMT+5:30","IT Trainer (Corporate)","Corporate IT Trainer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","On-site (at campus/office)","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-1165G7","4 cores","2.8 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","15 inches","Dual monitors","MS Office, VS Code, Zoom, OBS, Training software, Chrome","Small (Under 10 MB)","LKR 200,000 - 250,000","Training delivery, content creation, demonstrations","6-8 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger screen;Larger or faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 2:50:50 PM GMT+5:30","Natural Language Processing Engineer","NLP Engineer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","Remote/Work from home","Desktop PC (Custom built)","64 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 5950X","16 cores","3.4 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 3080","10 GB","Linux (Ubuntu)","27 inches (external monitor)","Dual monitors","Python, PyTorch, Transformers, spaCy, Jupyter, VS Code","Large files (100 MB - 1 GB)","Above LKR 300,000","NLP model development, training, fine-tuning","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Better graphics card (GPU);Larger or faster storage (SSD upgrade)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary","Need powerful GPU for training large language models"
"2026/02/18 2:55:15 PM GMT+5:30","University/College Student (CS/IT)","CS Undergraduate - Freshman","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i3-1005G1","2 cores","1.2 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 11","14 inches","Single monitor/screen only","VS Code, Chrome, MS Office, Zoom, Discord","Small (Under 10 MB)","LKR 100,000 - 150,000","Introductory programming, assignments, online classes","4-6 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","System freezes/lag;Slow boot times","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University WiFi)","More RAM (memory);Faster CPU/Processor;Faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
"2026/02/18 3:00:30 PM GMT+5:30","IT Infrastructure Manager","Infrastructure Manager","Information Technology (IT)","201-500 (Large organization)","7-10 years","On-site (at campus/office)","Desktop PC (Standard)","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i7-10700","8 cores","2.9 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 630","Shared","Windows 11","22 inches (external monitor)","Dual monitors","VMware vSphere, Monitoring tools, MS Office, PowerShell","Small (Under 10 MB)","LKR 250,000 - 300,000","Infrastructure management, capacity planning, team leadership","8-10 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT Leased Line)","More RAM (memory);Larger or faster storage (SSD upgrade)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 3:05:45 PM GMT+5:30","Robotics Engineer","Robotics Software Engineer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","Hybrid","Gaming Laptop","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i7-11800H","8 cores","2.3 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060","6 GB","Windows 11/Linux dual boot","15 inches","Single monitor/screen only","ROS, Gazebo, Python, C++, MATLAB, VS Code, SolidWorks","Medium (10 MB - 100 MB)","Above LKR 300,000","Robotics software development, simulation, testing","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","Battery drain (for laptops);Excessive fan noise","Occasionally (2-3 times per week)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Better graphics card (GPU);Larger battery (for laptops)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","Need powerful laptop for robotics simulations"
"2026/02/18 3:10:55 PM GMT+5:30","IT Asset Manager","IT Asset Manager","Information Technology (IT)","201-500 (Large organization)","4-6 years","Hybrid","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-10210U","4 cores","1.6 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 10","14 inches","Single monitor/screen only","MS Office, Asset management software, Excel, Email","Small (Under 10 MB)","LKR 150,000 - 200,000","Asset tracking, inventory management, reporting","6-8 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 3:15:20 PM GMT+5:30","University/College Student (CS/IT)","HND IT Student","Education - Private Institute","51-200 (Medium-sized business)","Less than 1 year","On-site (at campus/office)","Budget Laptop","4 GB","AMD","Entry-level (i3, Ryzen 3, M1)","AMD A4-9120e","2 cores","1.5 GHz","HDD (Mechanical hard drive)","500 GB","Integrated graphics (Intel UHD, AMD Radeon)","AMD Radeon R2","Shared","Windows 10","15 inches","Single monitor/screen only","MS Office, Chrome, VS Code (basic), Zoom","Small (Under 10 MB)","Under LKR 100,000","Assignments, online classes, basic programming","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow boot times;System freezes/lag;Application crashes;Overheating","Frequently (multiple times daily)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G dongle)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Very slow, can't run required software properly"
"2026/02/18 3:20:35 PM GMT+5:30","GIS Developer","Geospatial Developer","Information Technology (IT)","51-200 (Medium-sized business)","2-3 years","Hybrid","Desktop PC (Custom built)","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i7-11700K","8 cores","3.6 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060","12 GB","Windows 11","24 inches (external monitor)","Dual monitors","ArcGIS, QGIS, Python, PostGIS, VS Code, Chrome","Large files (100 MB - 1 GB)","LKR 250,000 - 300,000","GIS application development, spatial analysis, mapping","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","1-2 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 3:25:50 PM GMT+5:30","IT Vendor Manager","Vendor Management Specialist","Information Technology (IT)","201-500 (Large organization)","7-10 years","Hybrid","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-1035G1","4 cores","1.0 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 11","14 inches","Single monitor/screen only","MS Office, Procurement software, Email, Chrome, Zoom","Small (Under 10 MB)","LKR 150,000 - 200,000","Vendor relationship management, contract negotiation","6-8 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger screen;Larger or faster storage (SSD upgrade)","2-3 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 3:30:15 PM GMT+5:30","Quantitative Developer","Quant Developer","Finance/Banking","201-500 (Large organization)","4-6 years","Hybrid","Desktop PC (Custom built)","64 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i9-12900K","16 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 4080","16 GB","Windows 11/Linux dual boot","27 inches (external monitor)","Triple monitors","Python, C++, R, MATLAB, VS Code, Bloomberg Terminal","Large files (100 MB - 1 GB)","Above LKR 300,000","Algorithmic trading, financial modeling, data analysis","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Yes (UPS)","Fiber broadband (SLT Leased Line)","Faster CPU/Processor;More RAM (memory);Better graphics card (GPU)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary","Need high performance for backtesting and simulations"
"2026/02/18 3:35:30 PM GMT+5:30","University/College Student (CS/IT)","MSc in Data Science Student","Education - University","1000+ (Enterprise)","Less than 1 year","Hybrid","Gaming Laptop","16 GB","AMD","Mid-range (i5, Ryzen 5, M1/M2)","AMD Ryzen 7 4800H","8 cores","2.9 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Entry-level dedicated GPU (GTX 1650, RX 6500 XT)","NVIDIA GTX 1650","4 GB","Windows 11","15 inches","Single monitor/screen only","Python, R, Jupyter, TensorFlow, VS Code, Tableau, Chrome","Large files (100 MB - 1 GB)","LKR 200,000 - 250,000","Data science coursework, projects, research","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Partially (some tasks are slow or require workarounds)","Overheating;Battery drain (for laptops);Excessive fan noise","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University WiFi)","More RAM (memory);Better graphics card (GPU);Better cooling","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)","Good for coursework but struggles with large datasets",""
"Timestamp","What is your primary job role/category?","If comfortable, please specify your exact job title (Optional):","What industry/sector do you work in?","Company size (number of employees)","How many years of work experience do you have?","Work arrangement","What type of computer do you primarily use for work?","RAM (Memory) capacity","Processor (CPU) brand","Processor performance tier (if known)","Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):","Number of CPU cores","Processor base speed (GHz)","Primary storage type","Total storage capacity","Graphics card (GPU) type","If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):","Graphics card memory (VRAM)","Operating system","Screen size (for laptops/all-in-ones)","Do you use multiple monitors?","What software/applications do you use regularly?","What is the typical size of files you work with?","What is your budget for a PC?","Primary work activities","How many hours per day do you use your PC for work?","Do you run multiple applications simultaneously?","Rate the intensity of your typical workload:","Is your current PC sufficient for your work requirements?","What performance issues do you experience?","How often does your PC slow down or struggle during work?","Do you experience power interruptions at your location?","Do you use a UPS or generator?","What type of internet connection do you use for work?","If you could upgrade your PC, what would you prioritize?","When was your current PC purchased or assigned to you?","PC form factor preference?","Portability requirement?","Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
"2026/02/18 7:35:12 AM GMT+5:30","University/College Student (CS/IT)","Cybersecurity Freshman","Education - University","1000+ (Enterprise)","Less than 1 year","On-site","Budget Laptop","8 GB","AMD","Entry-level (i3, Ryzen 3, M1)","AMD Ryzen 3 7320U","4 cores","2.4 GHz","SATA SSD","256 GB","Integrated graphics","AMD Radeon 610M","Shared","Windows 11","14 inches","Single monitor/screen only","VirtualBox, Kali Linux, Wireshark, Chrome","Small (Under 10 MB)","Under LKR 150,000","Labs, CTFs, basic security tools","4-6 hours","Moderately (3-5 apps)","2 - Light","No","Very slow VMs;Overheating","Frequently (daily)","Frequently (4+ hours/week)","No","University WiFi + 4G","More RAM;Faster CPU;SSD upgrade","3+ years ago","Windows Laptop","Must be portable","Barely runs VMs for labs – urgent upgrade needed"
"2026/02/18 8:05:40 AM GMT+5:30","Software Tester (Manual)","QA Tester","Information Technology (IT)","51-200","2-3 years","Hybrid","Standard Laptop","8 GB","Intel","Entry-level","Intel Core i3-1215U","6 cores","1.2 GHz","NVMe SSD","256 GB","Integrated","Intel UHD","Shared","Windows 11","14 inches","Dual monitors","JIRA, TestRail, BrowserStack, Chrome","Small (Under 10 MB)","LKR 150,000 - 220,000","Manual testing, bug reporting","6-8 hours","Moderately","2 - Light","Partially","Lag when running parallel browsers","Occasionally","Occasionally (2-3 h/week)","Yes (UPS)","Dialog Fiber","More RAM;Faster storage","2 years ago","Windows Laptop","No, stationary ok","Need smoother multi-browser testing"
"2026/02/18 8:40:55 AM GMT+5:30","Content Creator / YouTuber","Tech Reviewer (Freelance)","Media/Content Creation","Self-employed","3-5 years","Remote","Gaming Laptop","32 GB","AMD","High-end","AMD Ryzen 7 7840HS","8 cores","3.8 GHz","NVMe SSD","1 TB","Mid-range dedicated","NVIDIA RTX 4060","8 GB","Windows 11","16 inches","Dual monitors","Premiere Pro, DaVinci Resolve, OBS, Photoshop","Large (100 MB - 1 GB)","Above LKR 350,000","Video editing, rendering, streaming","8-10 hours","Frequently (6-10)","4 - Heavy","Yes","Long render times sometimes","Rarely","Rarely","Yes (UPS)","SLT Fiber","Better GPU;More storage","8 months ago","Windows Laptop","Must be portable","Good for 1080p but want 4K smoother"
"2026/02/18 9:05:20 AM GMT+5:30","Accounts Assistant (with Excel heavy)","Finance Assistant","Finance/Banking","201-500","4-6 years","On-site","Standard Laptop","16 GB","Intel","Mid-range","Intel Core i5-1235U","10 cores","1.3 GHz","NVMe SSD","512 GB","Integrated","Intel Iris Xe","Shared","Windows 11","15 inches","Dual monitors","Excel (advanced), Tally, QuickBooks","Medium (10-100 MB)","LKR 180,000 - 250,000","Financial reporting, data entry","7-9 hours","Frequently","3 - Moderate","Yes","Slow with large spreadsheets","Occasionally","Rarely","Yes (UPS)","Office Fiber","More RAM","1.5 years ago","Windows Laptop","No, stationary","Excel crashes less now but still lags on big files"
"2026/02/18 9:50:30 AM GMT+5:30","Flutter Developer (Mid)","Mobile Developer","Information Technology (IT)","11-50","3-5 years","Remote","MacBook","16 GB","Apple","Mid-range","Apple M2","8 cores","3.5 GHz","NVMe SSD","512 GB","Integrated","Apple GPU","Shared","macOS Ventura","14 inches","Dual monitors","VS Code, Android Studio, Xcode, Figma","Medium (10-100 MB)","Above LKR 300,000","App development, debugging","8 hours","Frequently","3 - Moderate","Yes","Emulator lag occasionally","Never","Rarely","Not needed","Dialog Fiber","More storage","1 year ago","MacBook","Must be portable","Stable but storage fills fast with simulators"
