Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
2025/11/22 10:48:12 AM GMT+5:30,Small Shop Owner,Retail Shop Owner,Retail/E-commerce,501-1000 (Large organization),4-6 years,Hybrid,Budget Laptop,8 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-12100,4 cores,1.1 GHz,HDD (Hard Disk Drive),128 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11 Home,15 inches,Dual monitors,"MS Excel, Chrome, Email, WhatsApp Web, Simple POS",Small (Under 10 MB),"LKR 100,000 - 150,000","Basic billing, inventory tracking, email, WhatsApp",4-6 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)","Yes, fully meets my needs",Slow boot times;Application crashes;Overheating,Never,Rarely (1-2 hours/month),Yes (UPS),Fiber broadband (University network),Faster CPU/Processor,2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
2025/05/12 5:01:19 PM GMT+5:30,Teacher/Educator,University Lecturer,Education - University,1000+ (Enterprise),7-10 years,On-site (at campus/office),Desktop PC (Standard),4 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-12500,8 cores,3.6 GHz,SATA SSD (Slower SSD),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,24 inches (external monitor),Dual monitors,"MS Office, Zoom, Google Meet, Moodle, LMS tools",Small (Under 10 MB),"Under LKR 100,000","Lesson preparation, online teaching, grading, LMS management",4-6 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),System freezes/lag,Never,Never,No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",More RAM (memory),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2026/01/04 2:14:26 PM GMT+5:30,Medical/Healthcare Professional,Pharmacist,Healthcare,201-500 (Large organization),2-3 years,Remote/Work from home,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,6 cores,2.5 GHz,HDD (Hard Disk Drive),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,22 inches (external monitor),Triple monitors,"Epic, Cerner, Meditech, Google Workspace",Medium (10 MB - 100 MB),"LKR 150,000 - 200,000","EMR/EHR data entry, telemedicine, prescriptions",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),System freezes/lag;Application crashes,Rarely (once a week or less),Rarely (1-2 hours/month),No (no backup power),Mobile broadband (4G/5G dongle),Larger or faster storage (SSD upgrade);Larger battery (for laptops);Faster storage (SSD upgrade),More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/07/06 11:27:33 AM GMT+5:30,Architect/Civil Engineer,CAD Technician,Engineering/Manufacturing,201-500 (Large organization),Less than 1 year,Remote/Work from home,Desktop PC (Custom built),16 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Ryzen 9 7950X,12 cores,4.0 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060,8 GB,Windows 11,24 inches (external monitor),Triple monitors,"AutoCAD, Revit, SketchUp, Lumion, 3ds Max",Large files (100 MB - 1 GB),"LKR 250,000 - 300,000","CAD design, structural analysis, BIM modeling, rendering",8-10 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Never,Frequently (3-4 hours/week),No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Larger battery (for laptops),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/01/11 8:40:40 AM GMT+5:30,Mobile App Developer,iOS Developer,Information Technology (IT),1-10 (Small business/Startup),1-3 years,Remote/Work from home,MacBook or Mac desktop,32 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700H,10 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,macOS,27 inches (external monitor),Single monitor/screen only,"Android Studio, Xcode, Flutter SDK, VS Code, Firebase",Medium (10 MB - 100 MB),"LKR 250,000 - 300,000","Cross-platform app development, API integration",8-10 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),No performance issues,Rarely (once a week or less),Frequently (3-4 hours/week),Not needed,Fiber broadband (University network),Better GPU (graphics card);Larger battery (for laptops);Faster CPU/Processor,Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2025/09/23 3:53:47 PM GMT+5:30,Game Developer,Unity Developer,Creative Arts/Media,201-500 (Large organization),1-3 years,Hybrid,Gaming Laptop,64 GB,Intel,"High-end (i7, Ryzen 7, M2/M3)",Intel Core i7-12700H,8 cores,3.2 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4070,12 GB,Windows 11,15 inches,Triple monitors,"C#, C++, Maya, Substance Painter, Perforce",Very large files (1 GB+),"LKR 250,000 - 300,000","Game development, 3D modeling, level design, scripting",6-8 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Yes (UPS),Fiber broadband (University network),Larger battery (for laptops);Better GPU (graphics card),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/04/12 12:06:54 PM GMT+5:30,QA/Test Engineer,Software Test Engineer,Information Technology (IT),201-500 (Large organization),7-10 years,On-site (at campus/office),Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,10 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,14 inches,Single monitor/screen only,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 150,000 - 200,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times;Application crashes;Overheating,Rarely (once a week or less),Never,Not needed,Fiber broadband (University network),Larger or faster storage (SSD upgrade);Faster storage (SSD upgrade);Better GPU (graphics card),1-2 years ago,Windows Laptop,Preferred portable but not critical,
2026/01/04 9:19:01 AM GMT+5:30,Architect/Civil Engineer,Civil Engineer,Engineering/Manufacturing,1000+ (Enterprise),10+ years,Hybrid,Gaming Laptop,16 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Ryzen 9 5950X,16 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3070,8 GB,Windows 11,15 inches,Triple monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Very large files (1 GB+),"LKR 250,000 - 300,000","Site planning, engineering simulations, drawings",6-8 hours,Moderately (3-5 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Never,Never,Yes (UPS),Mobile broadband (4G/5G dongle),Faster CPU/Processor;Larger or faster storage (SSD upgrade),1-2 years ago,Gaming Laptop,Preferred portable but not critical,
2025/08/05 4:32:08 PM GMT+5:30,Mobile App Developer,iOS Developer,Information Technology (IT),201-500 (Large organization),7-10 years,Remote/Work from home,MacBook or Mac desktop,32 GB,Apple,"High-end (i7, Ryzen 7, M2/M3)",Apple M2 Pro,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1660,4 GB,macOS,13 inches,Single monitor/screen only,"React Native, Expo, Simulator, Git, Postman",Small (Under 10 MB),"Above LKR 300,000","Cross-platform app development, API integration",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow boot times;System freezes/lag,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Yes (Generator),ADSL broadband,Larger or faster storage (SSD upgrade),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2025/03/12 1:45:15 PM GMT+5:30,Game Developer,Unity Developer,Creative Arts/Media,1000+ (Enterprise),2-3 years,Remote/Work from home,Desktop PC (Custom built),32 GB,Intel,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",Intel Xeon W-2245,24 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4070 Ti,12 GB,Windows 11,32 inches (external monitor),Dual monitors,"Unity, Unreal Engine, Blender, VS Code, Git",Very large files (1 GB+),"LKR 250,000 - 300,000","Shader programming, physics simulation, optimization",6-8 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",No performance issues,Never,Frequently (3-4 hours/week),No (no backup power),ADSL broadband,More RAM (memory);Better GPU (graphics card);Larger battery (for laptops),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/12/22 10:58:22 AM GMT+5:30,QA/Test Engineer,QA Engineer,Information Technology (IT),51-200 (Medium-sized business),4-6 years,Remote/Work from home,Desktop PC (Standard),16 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-10105,2 cores,1.1 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,24 inches (external monitor),Single monitor/screen only,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 200,000 - 250,000","Performance testing, regression testing, test case design",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Battery drain (for laptops),Never,Occasionally (1-2 hours/week),Yes (Generator),ADSL broadband,Better GPU (graphics card),Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/08/10 5:11:29 PM GMT+5:30,Architect/Civil Engineer,CAD Technician,Engineering/Manufacturing,51-200 (Medium-sized business),1-3 years,On-site (at campus/office),Gaming Laptop,32 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Threadripper PRO 5955WX,16 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),2 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,17 inches,Dual monitors,"STAAD Pro, ETABS, ArchiCAD, Rhino",Large files (100 MB - 1 GB),"Above LKR 300,000","CAD design, structural analysis, BIM modeling, rendering",6-8 hours,Moderately (3-5 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Never,Rarely (1-2 hours/month),Yes (UPS),Mobile broadband (4G/5G dongle),Better GPU (graphics card);Faster storage (SSD upgrade),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/04/04 2:24:36 PM GMT+5:30,Mobile App Developer,Flutter Developer,Information Technology (IT),11-50 (Small to medium),Less than 1 year,Remote/Work from home,Standard Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7600X,6 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",NVIDIA GTX 1660,4 GB,Windows 11,13 inches,Dual monitors,"Android Studio, Xcode, Flutter SDK, VS Code, Firebase",Small (Under 10 MB),"LKR 200,000 - 250,000","Cross-platform app development, API integration",8-10 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs",System freezes/lag,Occasionally (2-3 times per week),Rarely (1-2 hours/month),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Faster CPU/Processor,1-2 years ago,Windows Laptop,Preferred portable but not critical,
2026/02/01 11:37:43 AM GMT+5:30,Game Developer,Game Programmer,Creative Arts/Media,201-500 (Large organization),2-3 years,On-site (at campus/office),Gaming Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 9 5950X,10 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",AMD Radeon RX 7800 XT,12 GB,Windows 11,17 inches,Triple monitors,"Unity, Unreal Engine, Blender, VS Code, Git",Large files (100 MB - 1 GB),"Above LKR 300,000","Game development, 3D modeling, level design, scripting",8-10 hours,Frequently (6-10 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Occasionally (2-3 times per week),Occasionally (1-2 hours/week),No (no backup power),ADSL broadband,Larger battery (for laptops);Faster storage (SSD upgrade),Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
2025/10/08 8:50:50 AM GMT+5:30,QA/Test Engineer,Software Test Engineer,Information Technology (IT),501-1000 (Large organization),1-3 years,On-site (at campus/office),Standard Laptop,16 GB,AMD,"Entry-level (i3, Ryzen 3, M1)",AMD Ryzen 3 5300G,2 cores,2.4 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,15 inches,Single monitor/screen only,"Selenium, JIRA, TestRail, Postman, Chrome, Excel",Small (Under 10 MB),"LKR 200,000 - 250,000","Manual testing, test automation, bug reporting",6-8 hours,Moderately (3-5 applications at a time),"2 - Light (document editing, web browsing)",Partially (some tasks are slow or require workarounds),Application crashes,Frequently (multiple times daily),Frequently (3-4 hours/week),No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card);Faster storage (SSD upgrade),Less than 1 year ago,Windows Laptop,Preferred portable but not critical,
2025/06/20 3:03:57 PM GMT+5:30,Software Developer/Engineer,Java Developer,Information Technology (IT),501-1000 (Large organization),Less than 1 year,Hybrid,Gaming Laptop,32 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,8 cores,3.0 GHz,SATA SSD (Slower SSD),512 GB,"Entry-level dedicated GPU (GTX 1650, RX 6500 XT)",AMD Radeon RX 6500 XT,4 GB,Windows 11,17 inches,Dual monitors,"IntelliJ IDEA, Maven, Jira, Slack",Small (Under 10 MB),"LKR 250,000 - 300,000","Full-stack development, API development, debugging",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),System freezes/lag;Application crashes,Rarely (once a week or less),Occasionally (1-2 hours/week),No (no backup power),Mobile broadband (4G/5G dongle),Better GPU (graphics card),2-3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/03/08 12:16:04 PM GMT+5:30,DevOps Engineer,Cloud Engineer,Information Technology (IT),1-10 (Small business/Startup),4-6 years,Hybrid,Standard Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 5800X,12 cores,3.5 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060 Ti,8 GB,Windows 11,13 inches,Triple monitors,"Docker, Kubernetes, Jenkins, Terraform, VS Code",Small (Under 10 MB),"Above LKR 300,000","Infrastructure as code, monitoring, automation",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Rarely (once a week or less),Frequently (3-4 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Larger or faster storage (SSD upgrade);Larger battery (for laptops);Faster CPU/Processor,More than 3 years ago,Windows Laptop,Preferred portable but not critical,
2026/01/29 9:29:11 AM GMT+5:30,Data Scientist/Analyst,AI Researcher,Information Technology (IT),201-500 (Large organization),Less than 1 year,Remote/Work from home,Gaming Laptop,32 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Ryzen 9 7950X,24 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"High-end dedicated GPU (RTX 4070, RX 7800 XT)",NVIDIA RTX 4070 Ti,12 GB,Windows 11,15 inches,Dual monitors,"R Studio, Power BI, Excel, SQL, TensorFlow",Very large files (1 GB+),"LKR 250,000 - 300,000","Statistical analysis, predictive modeling, reporting",8-10 hours,Moderately (3-5 applications at a time),"5 - Very heavy (machine learning, scientific computing)",Partially (some tasks are slow or require workarounds),No performance issues,Rarely (once a week or less),Rarely (1-2 hours/month),Not needed,Mobile broadband (4G/5G dongle),Faster CPU/Processor;Faster storage (SSD upgrade),More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/10/29 4:42:18 PM GMT+5:30,Graphic Designer/Video Editor,Graphic Designer,Creative Arts/Media,51-200 (Medium-sized business),7-10 years,Remote/Work from home,Gaming Laptop,32 GB,Apple,"Mid-range (i5, Ryzen 5, M1/M2)",Apple M2,6 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),1 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060 Ti,8 GB,Windows 11,17 inches,Triple monitors,"Canva Pro, Sketch, Adobe XD, Affinity Designer",Medium (10 MB - 100 MB),"LKR 200,000 - 250,000","Graphic design, UI mockups, branding",6-8 hours,Moderately (3-5 applications at a time),"4 - Heavy (video editing, 3D rendering, VM)",Partially (some tasks are slow or require workarounds),System freezes/lag,Occasionally (2-3 times per week),Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster CPU/Processor;Larger battery (for laptops);Faster storage (SSD upgrade),More than 3 years ago,Gaming Laptop,Preferred portable but not critical,
2025/08/04 1:55:25 PM GMT+5:30,Video Editor/Content Creator,3D Animator,Creative Arts/Media,501-1000 (Large organization),4-6 years,Remote/Work from home,MacBook or Mac desktop,32 GB,AMD,"Enthusiast/Workstation (i9, Ryzen 9, Threadripper)",AMD Ryzen 9 7950X,12 cores,3.7 GHz,NVMe SSD (Faster PCIe SSD),4 TB,"Mid-range dedicated GPU (RTX 3060, RX 6700 XT)",NVIDIA RTX 3060 Ti,8 GB,macOS,14 inches,Triple monitors,"Adobe Premiere Pro, After Effects, DaVinci Resolve",Large files (100 MB - 1 GB),"Above LKR 300,000","3D animation, rendering, VFX",8-10 hours,Frequently (6-10 applications at a time),"5 - Very heavy (machine learning, scientific computing)","Yes, fully meets my needs",System freezes/lag,Never,Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Better GPU (graphics card);Larger or faster storage (SSD upgrade);Larger battery (for laptops),Less than 1 year ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2025/05/16 10:08:32 AM GMT+5:30,University/College Student (CS/IT),MSc Student,Education - University,1-10 (Small business/Startup),7-10 years,Hybrid,Budget Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600H,10 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),128 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11 Home,15 inches,Triple monitors,"VS Code, Chrome, MS Office, Zoom, Google Meet",Small (Under 10 MB),"LKR 100,000 - 150,000","Programming assignments, online research, documentation",6-8 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)",No (insufficient for my needs),System freezes/lag;Application crashes,Rarely (once a week or less),Never,Yes (UPS),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Larger or faster storage (SSD upgrade),1-2 years ago,Windows Laptop,Must be portable (travel frequently for work),
2025/03/03 5:21:39 PM GMT+5:30,University/College Student (Non-IT),Business Administration Student,Education - University,51-200 (Medium-sized business),7-10 years,Remote/Work from home,Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,8 cores,3.0 GHz,eMMC storage,128 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,13 inches,Dual monitors,"Moodle, Google Classroom, YouTube, Email",Small (Under 10 MB),"LKR 100,000 - 150,000","Document editing, spreadsheets, video calls",2-4 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)","Yes, fully meets my needs",No performance issues,Never,Never,No (no backup power),"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Better GPU (graphics card);Larger or faster storage (SSD upgrade),Less than 1 year ago,Windows Laptop,Preferred portable but not critical,
2026/02/23 2:34:46 PM GMT+5:30,Business Analyst/Manager,Project Manager,Finance/Banking,11-50 (Small to medium),Less than 1 year,Hybrid,Standard Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600G,6 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,Windows 11,14 inches,Triple monitors,"Salesforce, HubSpot, Trello, Asana, Google Workspace",Small (Under 10 MB),"LKR 200,000 - 250,000","Data analysis, presentations, email communication",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow boot times,Rarely (once a week or less),Never,Yes (UPS),ADSL broadband,More RAM (memory),More than 3 years ago,Windows Laptop,Preferred portable but not critical,
2025/12/23 11:47:53 AM GMT+5:30,Accountant/Finance Officer,Finance Officer,Finance/Banking,1000+ (Enterprise),4-6 years,Hybrid,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.6 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics,Shared,Windows 11,21 inches,Single monitor/screen only,"Xero, MYOB, Sage, Email",Small (Under 10 MB),"LKR 100,000 - 150,000","Accounting, payroll, financial reporting, tax filing",8-10 hours,Occasionally (2-3 apps at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",System freezes/lag;Application crashes,Rarely (once a week or less),Rarely (1-2 hours/month),Not needed,ADSL broadband,Larger or faster storage (SSD upgrade);More RAM (memory);Larger battery (for laptops),1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/10/28 8:00:00 AM GMT+5:30,HR/Administrative Officer,Recruitment Specialist,Healthcare,201-500 (Large organization),2-3 years,Hybrid,Desktop PC (Standard),4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Celeron G6900,4 cores,1.1 GHz,SATA SSD (Slower SSD),500 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel Iris Xe,Shared,Windows 11,22 inches (external monitor),Dual monitors,"BambooHR, Workday, MS Teams, Excel",Small (Under 10 MB),"Under LKR 100,000","Scheduling, document management, email communication",4-6 hours,Occasionally (2-3 apps at a time),"2 - Light (document editing, web browsing)",No (insufficient for my needs),Slow boot times;Application crashes;Overheating,Never,Never,Yes (UPS),Fiber broadband (University network),Faster storage (SSD upgrade),2-3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/09/08 3:13:07 PM GMT+5:30,Customer Service/Support,Call Center Agent,Retail/E-commerce,1000+ (Enterprise),4-6 years,Hybrid,Desktop PC (Standard),4 GB,Intel,"Entry-level (i3, Ryzen 3, M1)",Intel Core i3-1215U,2 cores,2.4 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,24 inches (external monitor),Triple monitors,"Salesforce, HubSpot, Slack, Zoom, Google Workspace",Small (Under 10 MB),"LKR 100,000 - 150,000","Customer communication, ticket handling, CRM management",8-10 hours,Occasionally (2-3 apps at a time),"1 - Very light (email, web browsing)",Partially (some tasks are slow or require workarounds),Slow boot times;System freezes/lag,Occasionally (2-3 times per week),Frequently (3-4 hours/week),No (no backup power),Mobile broadband (4G/5G dongle),Better GPU (graphics card);Larger battery (for laptops);Faster storage (SSD upgrade),More than 3 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
2025/07/26 12:26:14 PM GMT+5:30,Marketing/Digital Marketing Specialist,Social Media Manager,Retail/E-commerce,11-50 (Small to medium),4-6 years,Hybrid,MacBook or Mac desktop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-11400H,8 cores,3.3 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",Intel UHD Graphics 770,Shared,macOS,14 inches,Triple monitors,"Adobe Photoshop, Buffer, HubSpot, WordPress, Google Ads",Medium (10 MB - 100 MB),"LKR 200,000 - 250,000","Email marketing, ad campaigns, performance reporting",8-10 hours,Frequently (6-10 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow boot times;System freezes/lag,Rarely (once a week or less),Rarely (1-2 hours/month),Not needed,Fiber broadband (University network),Larger battery (for laptops);Better GPU (graphics card),1-2 years ago,MacBook or Mac desktop,Must be portable (travel frequently for work),
2025/06/18 9:39:21 AM GMT+5:30,Network Administrator,Infrastructure Engineer,Information Technology (IT),11-50 (Small to medium),7-10 years,Hybrid,Standard Laptop,32 GB,AMD,"High-end (i7, Ryzen 7, M2/M3)",AMD Ryzen 7 6800H,12 cores,3.5 GHz,SATA SSD (Slower SSD),1 TB,"Integrated graphics (Intel UHD, AMD Radeon)",AMD Radeon 680M,Shared,Windows 11,15 inches,Triple monitors,"Wireshark, PuTTY, Cisco Packet Tracer, PRTG, SolarWinds",Small (Under 10 MB),"LKR 200,000 - 250,000","Server management, firewall administration, VPN setup",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Application crashes,Rarely (once a week or less),Never,Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster storage (SSD upgrade);Better GPU (graphics card);Larger or faster storage (SSD upgrade),More than 3 years ago,Windows Laptop,Preferred portable but not critical,
